Timestamp,xP,xI,xD,yP,yI,yD,zP,zI,zD,rollP,rollI,rollD,pitchP,pitchI,pitchD,rollRateP,rollRateI,rollRateD,pitchRateP,pitchRateI,pitchRateD,yawRateP,yawRateI,yawRateD
2025.09.17-01.01.37,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,3.100000,0.500000,2.100000,3.100000,0.500000,2.100000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.17-01.01.37,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,3.100000,0.500000,2.100000,3.100000,0.500000,2.100000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.17-01.01.37,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,3.100000,0.500000,2.100000,3.100000,0.500000,2.100000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.17-01.01.37,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,3.100000,0.500000,2.100000,3.100000,0.500000,2.100000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.17-01.17.28,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.310000,0.200000,0.340000,0.310000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.25-13.24.47,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,1.051000,0.317000,0.701000,1.051000,0.317000,0.701000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.25-13.24.48,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,1.051000,0.317000,0.701000,1.051000,0.317000,0.701000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.09.25-13.24.48,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,1.051000,0.317000,0.701000,1.051000,0.317000,0.701000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.10.12-05.07.53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,2.000000,0.000000,0.000000
2025.10.12-18.54.07,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.900000,0.200000,0.340000,0.900000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.10.12-18.56.55,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.900000,0.200000,0.340000,0.900000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.10.12-19.08.14,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.900000,0.200000,0.340000,0.900000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.10.12-19.14.18,10.000000,0.000000,0.000000,10.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.900000,0.200000,0.340000,0.900000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
2025.10.12-19.43.22,2.650000,0.457000,1.066000,2.650000,0.457000,1.066000,5.000000,0.000000,0.000000,0.900000,0.200000,0.340000,0.900000,0.200000,0.340000,0.010000,0.000000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,0.000000
